Name,Latitude,Longitude
List of Black -Spot s on National Highways in the State of West Bengal,22.9867569,87.8549755
,,
"1 NH-2 Burdwan  Burdwan(S)  Burdwan (S) Palh, Sreerampur more, Burdwan(s)",23.2181572,87.8937071
"2 NH-2 Burdwan  Galsi Khana Junction more,  Surul more to Kulgeria Sako",23.3215406,87.7689551
3 NH-2 Burdwan  Kanksa  Panagarh Bazar -  Railover Bridge to Derjeeling More,23.4535672,87.4475145
4 NH-34  Murshidabad  Berhampore  Panchanantala- Madhupur to Chuapur 2 Km,24.0959042,88.2704118
5 NH-2 Hooghly  Panchghora  Panchghora,22.8308677,88.2324128
6 NH-34 Malda  English Bazar PS  Sukanta More,25.4475564,88.1768903
7 NH-34 Malda  English Bazar PS  Rathbari Crossing,25.4475564,88.1768903
"8 NH-34  Murshidabad    Beldanga  Barua Crossing, Pratirodhi Club to Beldanga Hut 200",23.9397751,88.2402169
"9 NH-34 Burdwan  Kaliganj  Katwa More,  Vagachandpur more to Radhakantapur more 6 Kms.",23.4097549,89.1372527
,,
"Medinipur   Kharagpur  Basantapur, Basantapur 1 1/2 Kms.",22.4021408,87.4789689
"Medinipur   Kolaghat PS  Deaulia Bazar,  Borda more to Haldia more 1 1/2",22.4352325,87.8606813
"12 NH-34 Uttar Dinajpur Karandighi Purnia More -, Dalkhola to Purnia More",25.8870696,87.8247654
13 NH-34 Nadia  Nakashipara Jugpur,23.6195283,88.3713044
14 NH-2 Burdwan  Andal  Kajora area Hospital,23.2444197,87.8525104
15 NH-2 Burdwan  Durgapur  Gandhi More,23.5396691,87.288564
"16 NH-2 Hooghly  Dankuni  Dankuni More/Maitypara,  Durgapur Expressway    1",23.1407177,88.0440456
"17 NH-2 Hooghly  Dankuni  F.C.I. Crossing, Dankuni more to Maitypara    1 1/2",22.6740027,88.3002639
"Kms. 18 NH-6 Howrah  Sankrail Dhulagarh Xing, New korola to Dhulagarh Toll Plazza",22.5550215,88.1585858
"19 NH-6 Howrah  Domjur  Ankurhati Xing, Prasastha to Ankurhati Anchal  1 Km.",22.6053234,88.2455426
,,
,,
Teesta bridge to Talmahat    20 Km,26.5562558,88.581089
"21 NH-34  Murshidabad    Berhampore  Girja More Crossing - ,Ramendrasundar Setu to",24.0843755,88.2682247
Jalangi Bus Stand 1 1/2 Km,24.1279467,88.6904272
"22 NH-41 Purba Medinipur   Nandakumar  Kanchi,  Hatgeria to Bankrabandh  1 1/2 Kms.",22.1886986,87.9189638
"23 NH-34 Nadia  Chakdaha  Chakdah Chowrastha M ore,  Kalagachha to Chakdah",23.9397751,88.2402169
Chowrastha more 3 Kms.,23.5116963,88.5545958
"24 NH-31 Coochbehar  Kotwali  Khagrabari More,  Khagabari chowpathi to Girijabari",26.3504353,89.4434862
"25 NH-34 North24Pgs  Barasat  Doltala  Xing,  Sahara Bridge to Madhyamgram 1 1/2 Kms.",22.6957706,88.4559641
26 NH-34,22.6621144,88.4421392
"27 NH-35 North24Pgs  Barasat  Champadali more, Sethpukur more to Fish Market more 1/2 Kms.",22.7207451,88.4857941
